name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Pink Panther - Mixed,2,49FtkopOwFRcCIVknXLvZs,2,2024,0,0.733,0.821,1,-9.524,0,0.0402,0.000146,0.851,0.123,0.134,120.003,audio_features,49FtkopOwFRcCIVknXLvZs,spotify:track:49FtkopOwFRcCIVknXLvZs,https://api.spotify.com/v1/tracks/49FtkopOwFRcCIVknXLvZs,https://api.spotify.com/v1/audio-analysis/49FtkopOwFRcCIVknXLvZs,416000,4
8 Months,1,0RCITaIG37mQfVyQTLUL4O,0,2024,1,0.789,0.439,5,-11.132,0,0.543,0.514,0.000361,0.138,0.636,114.509,audio_features,0RCITaIG37mQfVyQTLUL4O,spotify:track:0RCITaIG37mQfVyQTLUL4O,https://api.spotify.com/v1/tracks/0RCITaIG37mQfVyQTLUL4O,https://api.spotify.com/v1/audio-analysis/0RCITaIG37mQfVyQTLUL4O,61740,4
8 Months,1,2UJove4K4mtYguXb6UXJuh,0,2024,1,0.608,0.687,1,-5.115,1,0.164,0.0447,0,0.394,0.389,97.415,audio_features,2UJove4K4mtYguXb6UXJuh,spotify:track:2UJove4K4mtYguXb6UXJuh,https://api.spotify.com/v1/tracks/2UJove4K4mtYguXb6UXJuh,https://api.spotify.com/v1/audio-analysis/2UJove4K4mtYguXb6UXJuh,98406,4
8 months,1,3sCakXrjGBBSLuCelOHRdG,0,2024,1,0.74,0.566,11,-6.923,0,0.318,0.505,0,0.126,0.482,90.975,audio_features,3sCakXrjGBBSLuCelOHRdG,spotify:track:3sCakXrjGBBSLuCelOHRdG,https://api.spotify.com/v1/tracks/3sCakXrjGBBSLuCelOHRdG,https://api.spotify.com/v1/audio-analysis/3sCakXrjGBBSLuCelOHRdG,174767,4
8 Months,1,2xyJu9IXxDNsOgQruYVAjK,0,2024,0,0.601,0.311,11,-19.022,1,0.791,0.759,0.000228,0.0403,0.16,79.876,audio_features,2xyJu9IXxDNsOgQruYVAjK,spotify:track:2xyJu9IXxDNsOgQruYVAjK,https://api.spotify.com/v1/tracks/2xyJu9IXxDNsOgQruYVAjK,https://api.spotify.com/v1/audio-analysis/2xyJu9IXxDNsOgQruYVAjK,869910,4
8 BALL,1,2jXSohw7ekTNm2L6lSi3yg,0,2024,1,0.493,0.584,10,-8.394,0,0.28,0.161,1.99e-06,0.327,0.11,125.238,audio_features,2jXSohw7ekTNm2L6lSi3yg,spotify:track:2jXSohw7ekTNm2L6lSi3yg,https://api.spotify.com/v1/tracks/2jXSohw7ekTNm2L6lSi3yg,https://api.spotify.com/v1/audio-analysis/2jXSohw7ekTNm2L6lSi3yg,180069,5
8 months in,1,2zRHyJX9EpilaADK743F59,0,2024,1,0.702,0.634,11,-8.717,0,0.0634,0.114,0,0.0835,0.419,83.006,audio_features,2zRHyJX9EpilaADK743F59,spotify:track:2zRHyJX9EpilaADK743F59,https://api.spotify.com/v1/tracks/2zRHyJX9EpilaADK743F59,https://api.spotify.com/v1/audio-analysis/2zRHyJX9EpilaADK743F59,150432,4
month,1,3OgeDrC9wuUktiR9GXbbhv,0,2024,0,0.537,0.722,3,-6.484,1,0.0323,0.0016,0.913,0.0962,0.0988,124.989,audio_features,3OgeDrC9wuUktiR9GXbbhv,spotify:track:3OgeDrC9wuUktiR9GXbbhv,https://api.spotify.com/v1/tracks/3OgeDrC9wuUktiR9GXbbhv,https://api.spotify.com/v1/audio-analysis/3OgeDrC9wuUktiR9GXbbhv,230452,4
"7 Days, 8 Months",1,5SZ74MYpDMAKDghY2uYig7,2,2024,0,0.485,0.88,5,-7.162,0,0.132,0.0205,6.36e-06,0.346,0.29,114.476,audio_features,5SZ74MYpDMAKDghY2uYig7,spotify:track:5SZ74MYpDMAKDghY2uYig7,https://api.spotify.com/v1/tracks/5SZ74MYpDMAKDghY2uYig7,https://api.spotify.com/v1/audio-analysis/5SZ74MYpDMAKDghY2uYig7,280783,3
1 month,1,7uovrSkbxfV1obU27lbjtZ,0,2024,0,0.654,0.0597,11,-22.842,0,0.0355,0.986,0.939,0.0929,0.11,114.491,audio_features,7uovrSkbxfV1obU27lbjtZ,spotify:track:7uovrSkbxfV1obU27lbjtZ,https://api.spotify.com/v1/tracks/7uovrSkbxfV1obU27lbjtZ,https://api.spotify.com/v1/audio-analysis/7uovrSkbxfV1obU27lbjtZ,134750,4
