name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Guided Meditation: Monthly Salary Multiplier, Pt. 18",1,3eSk0TU1J6umOb4vWN47Gy,0,2022,0,0.373,0.0955,5.0,-21.343,1.0,0.152,0.832,0.851,0.135,0.651,85.687,audio_features,3eSk0TU1J6umOb4vWN47Gy,spotify:track:3eSk0TU1J6umOb4vWN47Gy,https://api.spotify.com/v1/tracks/3eSk0TU1J6umOb4vWN47Gy,https://api.spotify.com/v1/audio-analysis/3eSk0TU1J6umOb4vWN47Gy,35000.0,4.0
"Guided Meditation: Monthly Salary Multiplier, Pt. 10",1,5Gd0lEPH2bdkXtnWMZNdY2,0,2022,0,0.521,0.0198,7.0,-21.57,1.0,0.0711,0.842,0.0567,0.12,0.271,108.901,audio_features,5Gd0lEPH2bdkXtnWMZNdY2,spotify:track:5Gd0lEPH2bdkXtnWMZNdY2,https://api.spotify.com/v1/tracks/5Gd0lEPH2bdkXtnWMZNdY2,https://api.spotify.com/v1/audio-analysis/5Gd0lEPH2bdkXtnWMZNdY2,35000.0,5.0
"Guided Meditation: Monthly Salary Multiplier, Pt. 14",1,3ZpwSkspnxP8pqB5ZgdgXA,0,2022,0,0.468,0.0475,7.0,-21.799,1.0,0.105,0.911,0.0244,0.135,0.535,114.857,audio_features,3ZpwSkspnxP8pqB5ZgdgXA,spotify:track:3ZpwSkspnxP8pqB5ZgdgXA,https://api.spotify.com/v1/tracks/3ZpwSkspnxP8pqB5ZgdgXA,https://api.spotify.com/v1/audio-analysis/3ZpwSkspnxP8pqB5ZgdgXA,35000.0,4.0
"Guided Meditation: Monthly Salary Multiplier, Pt. 15",1,598wrxPbSthDSoeHulQVaL,0,2022,0,0.465,0.0722,0.0,-22.382,1.0,0.118,0.799,0.586,0.131,0.332,108.326,audio_features,598wrxPbSthDSoeHulQVaL,spotify:track:598wrxPbSthDSoeHulQVaL,https://api.spotify.com/v1/tracks/598wrxPbSthDSoeHulQVaL,https://api.spotify.com/v1/audio-analysis/598wrxPbSthDSoeHulQVaL,33000.0,3.0
"Guided Meditation: Monthly Salary Multiplier, Pt. 17",1,4k1deiZstwIzI2NIuZUAU0,0,2022,0,0.526,0.041,0.0,-20.988,1.0,0.192,0.884,0.291,0.129,0.677,84.739,audio_features,4k1deiZstwIzI2NIuZUAU0,spotify:track:4k1deiZstwIzI2NIuZUAU0,https://api.spotify.com/v1/tracks/4k1deiZstwIzI2NIuZUAU0,https://api.spotify.com/v1/audio-analysis/4k1deiZstwIzI2NIuZUAU0,32000.0,3.0
"Guided Meditation: Monthly Salary Multiplier, Pt. 19",1,175SYqQSlmAFmSiWy9NGLY,0,2022,0,0.609,0.101,0.0,-20.915,1.0,0.215,0.838,0.595,0.139,0.66,102.166,audio_features,175SYqQSlmAFmSiWy9NGLY,spotify:track:175SYqQSlmAFmSiWy9NGLY,https://api.spotify.com/v1/tracks/175SYqQSlmAFmSiWy9NGLY,https://api.spotify.com/v1/audio-analysis/175SYqQSlmAFmSiWy9NGLY,35000.0,5.0
"Guided Meditation: Monthly Salary Multiplier, Pt. 11",1,5zDkMdf5BxM0XVp9CdPlyO,0,2022,0,0.408,0.053,0.0,-22.297,1.0,0.0636,0.839,0.167,0.111,0.271,112.896,audio_features,5zDkMdf5BxM0XVp9CdPlyO,spotify:track:5zDkMdf5BxM0XVp9CdPlyO,https://api.spotify.com/v1/tracks/5zDkMdf5BxM0XVp9CdPlyO,https://api.spotify.com/v1/audio-analysis/5zDkMdf5BxM0XVp9CdPlyO,32000.0,4.0
Won't Let You Down (ESRD10) [Track Of The Month] - Mixed,1,0WhfLgxiBMcID2ZYrGfNlj,0,2022,0,0.641,0.877,9.0,-6.493,0.0,0.0404,0.00491,0.112,0.0987,0.2,126.0,audio_features,0WhfLgxiBMcID2ZYrGfNlj,spotify:track:0WhfLgxiBMcID2ZYrGfNlj,https://api.spotify.com/v1/tracks/0WhfLgxiBMcID2ZYrGfNlj,https://api.spotify.com/v1/audio-analysis/0WhfLgxiBMcID2ZYrGfNlj,365760.0,4.0
20th 1st Month Feast of Unleavened Bread - Instrumental,1,60Ua4bcIAQkuviWUrotSOM,0,2022,0,0.62,0.411,5.0,-15.425,0.0,0.0322,0.017,0.839,0.287,0.0991,134.008,audio_features,60Ua4bcIAQkuviWUrotSOM,spotify:track:60Ua4bcIAQkuviWUrotSOM,https://api.spotify.com/v1/tracks/60Ua4bcIAQkuviWUrotSOM,https://api.spotify.com/v1/audio-analysis/60Ua4bcIAQkuviWUrotSOM,201326.0,4.0
"Appointment with Doctor Lizi, Monthly Check Up Pt.1",1,6NsA8X2zjOKilcZeI2Rlk4,0,2022,0,0.375,0.235,7.0,-45.977,1.0,0.308,0.725,0.00369,0.39,0.0717,75.143,audio_features,6NsA8X2zjOKilcZeI2Rlk4,spotify:track:6NsA8X2zjOKilcZeI2Rlk4,https://api.spotify.com/v1/tracks/6NsA8X2zjOKilcZeI2Rlk4,https://api.spotify.com/v1/audio-analysis/6NsA8X2zjOKilcZeI2Rlk4,318534.0,3.0
